상품명,가격,행사종류,편의점,이미지URL
농심)멘토스레인보우,900,1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/6921211104292.jpg
농심)멘토스푸르티,900,1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8990800000053.png
동원)양반누룽지닭죽,"4,500",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801047161677.png
코카)스프라이트P500ml,"2,200",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801094202606.png
웅진)오곡누룽지P500ml,"2,200",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801382135036.png
동아)데미소다애플캔250ml,"1,700",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801097160064.jpg
HK)헛개수P500ml,"2,500",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801007171210.jpg
정식품)검은콩베지밀팩,"1,400",1+1,CU,http://cdn2.bgfretail.com/bgfbrand/files/product/45C3F62F11ED46A6ABDFBC0999EF3690.jpg
풀무원)액티비아업딸기,"2,200",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809274510893.png
46cm)초극세모칫솔,"3,500",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801051009033.png
메디안)치석케어치약,"5,400",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8806403146473.jpg
2080)칫솔,"3,000",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801046057216.jpg
2080)치약,"4,400",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801046846087.jpg
엘라)퍼퓸샴푸,"11,900",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801051152845.jpg
페리오)토탈7치약,"4,700",1+1,CU,https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801051064223.png
